"","dn","mavg","up","pctB","negative","over_bb_up","over_bb_dn","period"
"2021-08-17",NA,NA,NA,NA,1442,0,0,0
"2021-08-18",NA,NA,NA,NA,1447,0,0,0
"2021-08-19",NA,NA,NA,NA,1080,0,0,0
"2021-08-20",NA,NA,NA,NA,1939,0,0,0
"2021-08-21",NA,NA,NA,NA,743,0,0,0
"2021-08-22",NA,NA,NA,NA,421,0,0,0
"2021-08-23",155.205822836155,1113.28571428571,2071.36560573527,0.295275050762107,721,0,0,1
"2021-08-24",241.331629533317,1220.46428571429,2199.59694189525,0.664194152986297,1542,0,0,1
"2021-08-25",294.677085317157,1266.84821428571,2239.01934325427,0.571567536603315,1406,0,0,1
"2021-08-26",283.603818476238,1497.63616071429,2711.66850295233,0.785150491958622,2190,0,0,1
"2021-08-27",379.645627777109,1494.22712053571,2608.80861329432,0.495412125267574,1484,0,0,1
"2021-08-28",370.13026596388,1420.67034040179,2471.21041483969,0.394972906902264,1200,0,0,1
"2021-08-29",664.002674008615,1468.50275530134,2273.00283659406,0.589184108265148,1612,0,0,1
"2021-08-30",933.635083349455,1673.377066476,2413.11904960255,0.915430614689643,2288,0,0,2
"2021-08-31",925.750850688576,1659.782799857,2393.81474902543,0.472220010380198,1619,0,0,2
"2021-09-01",839.573101783792,2028.33709989275,3217.10109800171,0.965047268367015,3134,0,0,2
"2021-09-02",612.836279505881,1849.00282491956,3085.16937033325,0.282390638658029,1311,0,0,2
"2021-09-03",301.874898900526,1641.50211868967,2981.12933847882,0.267658453973616,1019,0,0,3
"2021-09-04",211.018626918726,1541.62658901725,2872.23455111578,0.387409891736741,1242,0,0,3
"2021-09-05",-69.0424592860306,1382.96994176294,2834.98234281191,0.336099904718759,907,0,0,3
"2021-09-06",-262.584933102293,1212.22745632221,2687.0398457467,0.326341485874659,700,0,0,3
"2021-09-07",-420.477818379831,1103.67059224165,2627.81900286314,0.393163096857195,778,0,0,3
"2021-09-08",634.388837330063,1049.00294418124,1463.61705103242,0.30222218507376,885,0,0,3
"2021-09-09",676.244378723666,1141.00220813593,1605.7600375482,0.796926457605994,1417,0,0,3
"2021-09-10",611.416788183605,1276.25165610195,1941.08652402029,0.805149717228645,1682,0,0,3
"2021-09-11",364.844336048912,1608.18874207646,2851.53314810401,0.900456725061855,2604,0,0,4
"2021-09-12",395.540685276068,1814.14155655735,3232.74242783862,0.71777035949675,2432,0,0,4
"2021-09-13",583.569678832459,1899.10616741801,3214.64265600356,0.596878283040271,2154,0,0,4
"2021-09-14",556.94511520688,2459.57962556351,4362.21413592013,0.941866360902213,4141,0,0,4
"2021-09-15",-3953.13380908566,6043.18471917263,16039.5032474309,1.03773873103564,16794,1,0,5
"2021-09-16",-4256.20397248914,9148.63853937947,22553.4810512481,0.84749984762491,18465,0,0,5
"2021-09-17",-4373.028291126,8411.2289045346,21195.4861001952,0.413478394924442,6199,0,0,5
"2021-09-18",-5927.73551702405,6904.17167840095,19736.078873826,0.323830876831275,2383,0,0,5
"2021-09-19",-7708.35492837918,5447.37875880071,18603.1124459806,0.333898326664229,1077,0,0,5
"2021-09-20",-9346.29923090725,4209.53406910054,17765.3673691083,0.363028189159777,496,0,0,5
"2021-09-21",-10643.1855963812,3428.4005518254,17499.986700032,0.416732892541611,1085,0,0,5
"2021-09-22",-9007.22832012623,2807.30041386905,14621.8291478643,0.421143684364338,944,0,0,5
"2021-09-23",-1161.21575935971,2418.97531040179,5999.16638016329,0.337302634454172,1254,0,0,5
"2021-09-24",996.607802733679,2055.23148280134,3113.855162869,-0.0154010359618987,964,0,1,6
"2021-09-25",1229.17561158082,1705.92361210101,2182.6716126212,-0.599033043618004,658,0,1,6
"2021-09-26",997.289611928525,1468.69270907575,1940.09580622298,-0.254866390762679,757,0,1,6
"2021-09-27",894.900498240072,1282.76953180682,1670.63856537356,-0.219017868837982,725,0,1,6
"2021-09-28",831.66478506665,1195.82714885511,1559.98951264357,0.141880690055846,935,0,0,6
"2021-09-29",734.998237192233,1099.87036164133,1464.74248609043,0.105518834747965,812,0,0,6
"2021-09-30",830.095453149202,1029.652771231,1229.2100893128,-0.0278001660271212,819,0,1,6
"2021-10-01",784.035389777784,1043.73957842325,1303.44376706872,0.581362610663244,1086,0,0,6
"2021-10-02",362.835900589812,1345.80468381744,2328.77346704506,0.960948166231193,2252,0,0,6
"2021-10-03",256.470077431784,1224.60351286308,2192.73694829437,0.312214153774631,861,0,0,7
"2021-10-04",180.968010516762,1129.20263464731,2077.43725877786,0.34908659346323,843,0,0,7
"2021-10-05",227.048710997907,1179.15197598548,2131.25524097306,0.578693157310239,1329,0,0,7
"2021-10-06",247.715791356177,1163.86398198911,2080.01217262205,0.474969124832618,1118,0,0,8
"2021-10-07",286.538387245204,1157.39798649183,2028.25758573846,0.488862736020471,1138,0,0,8
"2021-10-08",231.841040257171,1114.54848986888,1997.25593948058,0.4271851110323,986,0,0,8
"2021-10-09",544.596782411595,983.411367401656,1422.22595239172,0.0517339431521329,590,0,0,8
"2021-10-10",103.802487409809,791.558525551242,1479.31456369268,0.0815678135617602,216,0,0,8
"2021-10-11",116.3761509624,804.168894163432,1491.96163736446,0.52750182101406,842,0,0,8
"2021-10-12",164.3050435377,765.626670622574,1366.94829770745,0.403856218191323,650,0,0,8
"2021-10-13",205.342150911742,747.72000296693,1290.09785502212,0.450477326126635,694,0,0,8
"2021-10-14",240.485096253923,687.290002225198,1134.09490819647,0.297126217950645,506,0,0,8
"2021-10-15",333.448516566365,721.467501668898,1109.48648677143,0.632123043288729,824,0,0,9
"2021-10-16",322.72397704067,712.600626251674,1102.47727546268,0.465885843246184,686,0,0,9
"2021-10-17",359.048677968374,639.450469688755,919.852261409136,0.108685685739853,420,0,0,9
"2021-10-18",365.313887461555,613.587852266566,861.861817071578,0.343745492348539,536,0,0,9
"2021-10-19",156.819237716977,848.440889199925,1540.06254068287,1.00935298894228,1553,1,0,9
"2021-10-20",159.396996205644,854.580666899944,1549.76433759424,0.513247817718201,873,0,0,9
"2021-10-21",159.453908556349,823.935500174958,1488.41709179357,0.430821634989908,732,0,0,9
"2021-10-22",172.560394419643,839.451625131218,1506.34285584279,0.534899525383708,886,0,0,10
"2021-10-23",68.5573055488798,760.838718848414,1453.12013214795,0.329665570736353,525,0,0,10
"2021-10-24",23.9361571716695,695.12903913631,1366.32192110095,0.353150231153155,498,0,0,10
"2021-10-25",114.18311772997,753.846779352233,1393.51044097449,0.637692064764959,930,0,0,10
"2021-10-26",235.723787783291,651.385084514175,1067.04638124506,0.130245722982012,344,0,0,10
"2021-10-27",163.337419933714,588.038813385631,1012.74020683755,0.276267730321038,398,0,0,10
"2021-10-28",32.6987842895937,506.529110039223,980.359435788853,0.241965534126206,262,0,0,10
"2021-10-29",3.22071662531971,435.146832529417,867.072948433515,0.252102472339314,221,0,0,11
"2021-10-30",-5.8056917903549,423.860124397063,853.525940584481,0.460597139542638,390,0,0,11
"2021-10-31",-75.7033782379761,373.145093297797,821.993564833571,0.330516195390819,221,0,0,11
"2021-11-01",217.78272266574,401.858819973348,585.934917280956,0.733982524854116,488,0,0,11
"2021-11-02",209.598889707194,424.394114980011,639.189340252827,0.65737287673439,492,0,0,11
"2021-11-03",-102.796042741091,679.045586235008,1460.88721521111,0.988560844966434,1443,0,0,11
"2021-11-04",-84.6484524575039,834.534189676256,1753.71683181002,0.753739457721322,1301,0,0,12
"2021-11-05",-165.87965776083,719.400642257192,1604.68094227521,0.304920180506581,374,0,0,12
"2021-11-06",-343.305741918151,586.800481692894,1516.90670530394,0.286153198637639,189,0,0,12
"2021-11-07",-484.685273212643,471.350361269671,1427.38599575198,0.318861165432805,125,0,0,12
"2021-11-08",-624.556873406998,388.262770952253,1401.0824153115,0.376946121483482,139,0,0,12
"2021-11-09",-637.323449448455,384.44707821419,1406.21760587683,0.494398410453091,373,0,0,12
