"","name","period","injection","negative","positive","neutral","unit_num"
"1","AZ",1,121920,20583,4482,39166,1
"2","AZ",2,58081,12459,2826,23407,1
"3","AZ",3,1235170,24527,6697,54923,1
"4","AZ",4,160223,11689,5417,24093,1
"5","AZ",5,1183289,13250,3793,26461,1
"6","AZ",6,175617,9583,2667,26651,1
"7","AZ",7,37699,4884,755,9267,1
"8","AZ",8,1028913,6443,1877,16529,1
"9","AZ",9,901997,7891,1904,19977,1
"10","AZ",10,784717,9750,2927,22834,1
"11","AZ",11,670438,4719,1306,13135,1
"12","AZ",12,687336,6523,1616,17494,1
"13","BNT",1,0,26766,5662,46046,2
"14","BNT",2,0,25183,5100,39843,2
"15","BNT",3,0,15588,2980,25827,2
"16","BNT",4,0,11913,2297,22625,2
"17","BNT",5,125992,19347,5497,42656,2
"18","BNT",6,1549160,12707,4097,30008,2
"19","BNT",7,60170,5766,1359,10631,2
"20","BNT",8,501226,15849,5352,35530,2
"21","BNT",9,1167418,13021,3989,30863,2
"22","BNT",10,1282315,12605,3157,30305,2
"23","BNT",11,681681,6169,1927,16962,2
"24","BNT",12,817762,5193,1506,15620,2
"25","Moderna",1,54028,10155,1941,17773,3
"26","Moderna",2,34398,8352,1395,13716,3
"27","Moderna",3,27258,8630,1547,16052,3
"28","Moderna",4,15249,11331,1549,18580,3
"29","Moderna",5,80101,48697,10423,78492,3
"30","Moderna",6,477250,9008,2158,19565,3
"31","Moderna",7,367525,3033,646,5124,3
"32","Moderna",8,340627,6740,2153,18622,3
"33","Moderna",9,170346,5624,1310,16156,3
"34","Moderna",10,705394,3843,811,11775,3
"35","Moderna",11,359715,3255,1123,9785,3
"36","Moderna",12,162270,2501,704,8339,3
"37","MVC",1,653603,94477,24083,141236,4
"38","MVC",2,2467,20931,4289,29534,4
"39","MVC",3,57034,26383,5933,38351,4
"40","MVC",4,8393,9520,2014,15167,4
"41","MVC",5,3286,32766,7282,51604,4
"42","MVC",6,517897,19918,7774,39788,4
"43","MVC",7,6912,4884,1302,7866,4
"44","MVC",8,100588,8735,2445,13721,4
"45","MVC",9,16376,7060,1951,12801,4
"46","MVC",10,13843,8754,1988,14645,4
"47","MVC",11,12475,3539,1013,6332,4
"48","MVC",12,18517,2458,519,4570,4
